0.040015+0.029734j,-0.548185-0.306097j,-0.548185-0.306097j,0.000000
0.040015+0.029734j,-0.548186-0.306097j,-0.548184-0.306097j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
0.040015+0.029734j,-0.548060-0.306077j,-0.548310-0.306116j,0.000000
