0.026891+0.851243j,-0.001303-3.140706j,-0.001303-3.140706j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,0.001737-3.140346j,0.000000
